Group,Genus,Species,Paper,Authors,Journal,Year,Link,Sex,Experiment_location,Stimulus,Frequency_range,Tool_Mechanical_vib,Electrode_type,Recording_site,Mechanical_State,Electrical_tuning_fq,Electrical Tuning Frequency (Hz),CAP50,Age,Mating_status,Experimental_time
Ae. excrucians,Aedes,excrucians,"Functions of the Auditory System of Female Mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Entomological Review,2023,https://doi.org/10.1134/S0013873823030016,Female,Lab,Sweep,40-300,,Borosilicate glass microelectrode,Antennal_nerve_bundle,Active quiescent,105,105,,,Virgin,
Ae. excrucians,Aedes,excrucians,"Functions of the Auditory System of Female Mosquitoes (Diptera, Culicidae)",Lapshin D.N.; Vorontsov D.D.,Entomological Review,2023,https://doi.org/10.1134/S0013873823030016,Female,Lab,Sweep,40-300,,Borosilicate glass microelectrode,Auditory_interneuron,Active quiescent,82.5,82.5,,,Virgin,
Ae. togoi,Aedes,togoi,Making waves: The use of sound by a mosquito and three moth species,Hart M.,Thesis,2012,https://summit.sfu.ca/_flysystem/fedora/sfu_migrate/13647/etd7352_MHart.pdf,Male,Lab,Sweep,100-1000,,Tungsten,Antennal_nerve_bundle,Active quiescent,302 +/- 46 (mean +/- SD),302,,,Virgin,
Ae. togoi,Aedes,togoi,Making waves: The use of sound by a mosquito and three moth species,Hart M.,Thesis,2012,https://summit.sfu.ca/_flysystem/fedora/sfu_migrate/13647/etd7352_MHart.pdf,Female,Lab,Sweep,100-1000,,Tungsten,Antennal_nerve_bundle,Active quiescent,227 +/- 67 (mean +/- SD),227,,,Virgin,
An. coluzzi,Anopheles,coluzzi,“Singing on the Wing” as a Mechanism for Species Recognition in the Malarial Mosquito Anopheles gambiae,Pennetier C.; Warren B.; Dabiré K.R.; Russell I.J.; Gibson G.,Current Biology,2010,https://doi.org/10.1016/j.cub.2009.11.040,Male,Lab,Sweep,"20-1000 (20, 30, 40…. 100, 200, 300… 1000)",Laser Diode Interferometer,Tungsten,Antennal_nerve_bundle,Active quiescent,200 +/- 15 (mean +/- SD),200,,,Virgin,
An. coluzzi,Anopheles,coluzzi,“Singing on the Wing” as a Mechanism for Species Recognition in the Malarial Mosquito Anopheles gambiae,Pennetier C.; Warren B.; Dabiré K.R.; Russell I.J.; Gibson G.,Current Biology,2010,https://doi.org/10.1016/j.cub.2009.11.040,Male,Lab,Sweep,"20-1000 (20, 30, 40…. 100, 200, 300… 1000)",Laser Diode Interferometer,Tungsten,Antennal_nerve_bundle,Active SSO,300 +/- 25 (mean +/- SD),300,,,Virgin,
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,135,3_8,Virgin,
An. gambiae,Anopheles,gambiae,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Force step,,LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,,,1425,3_8,Virgin,
An. gambiae,Anopheles,gambiae,Hitting the right note at the right time: Circadian control of audibility in Anopheles mosquito mating swarms is mediated by flight tones,"Somers, J.; Georgiades, M.; Su, M.P.; Bagi, J.; Andrés, M.; Alampounti, A.; Mills, G.; Ntabaliba, W.; Moore, S.J.; Spaccapelo, R.; Albert, J.T.;",Science Advances,2022,https://doi.org/10.1126/sciadv.abl4844,Male,Lab,Sweep,15-695 Hz (10 Hz),LDV,Tungsten,Antennal_nerve_bundle,Active quiescent,185 (median) +/- 9.7,245,,4_8,Virgin,
An. gambiae,Anopheles,gambiae,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Female,Lab,Sweep,15-695 Hz (10 Hz),,,Antennal_nerve_bundle,Active quiescent,155 (median) +/- 3.65,155,,,Virgin,
