Group,Genus,Species,Paper,Authors,Journal,Peer_reviewed,Year,Link,Sex,Experiment_location,Stimulus,Stimulus_fq_range,Tool_MT,Laser_focus_point..top.to.bottom.,Mechanical_State,Mechanical_tuning_fq,Mechanical.Tuning.Frequency..Hz.,Tuning_sharpness_Q,v_vib_.v_air..relative.vibrational.velocity..or..df.dp..mechanical.sensitivity.,Age,Mating_status,Experimental_time,Temperature,Temp_data
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Active quiescent,522.69 +/- 11.1 (median +/- SE),522.69,26.8,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Passive sedation,297.99 +/- 11.9 (median +/- SE),297.99,0.94,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Male,Lab,Unstimulated,,LDV,2,Passive pymetrozine,292.67 +/- 11.49 (median +/- SE),292.67,1.27,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Active quiescent,203.06 +/- 2.22 (median +/- SE),203.06,3.32,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Passive sedation,207.47 +/- 3.99 (median +/- SE),207.47,1.04,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Sex and species specific hearing mechanisms in mosquito flagellar ears,Su M.P.; Andrés M.; Boyd-Gibbins N.; Somers J.; Albert J.T.,Nature Communications,Y,2018,https://doi.org/10.1038/s41467-018-06388-7,Female,Lab,Unstimulated,,LDV,3,Passive pymetrozine,210.21 +/- 3.57 (median +/- SE),210.21,1.31,,3_8,Virgin,ZT10,22,Y
Ae. aegypti,Aedes,aegypti,Mosquito hearing: sound-induced antennal vibrations in male and female Aedes aegypti,Göpfert M.C.; Briegel H.; Robert D.,Journal of Experimental Biology,Y,1999,https://doi.org/10.1242/jeb.202.20.2727,Male,Lab,White noise,100-3100,LDV,3,Active quiescent,383 +/- 28 (MEAN +/- SD),383,2.4,3,3_4,Virgin,,22.5,Y
Ae. aegypti,Aedes,aegypti,Mosquito hearing: sound-induced antennal vibrations in male and female Aedes aegypti,Göpfert M.C.; Briegel H.; Robert D.,Journal of Experimental Biology,Y,1999,https://doi.org/10.1242/jeb.202.20.2727,Female,Lab,White noise,100-3100,LDV,3,Active quiescent,229 +/- 17 (MEAN +/- SD),229,2.1,2.1,3_4,Virgin,,22.5,Y
Ae. aegypti,Aedes,aegypti,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,N,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Male,Lab,Sweep,15-695 Hz (10 Hz),LDV,2,Active quiescent,360 +/- 12.31 (MEDIAN +/- SE),360,,,3_8,Virgin,ZT10,21.5,Y
Ae. aegypti,Aedes,aegypti,Chordotonal organ mechanosensory pathways as potential targets for the control of mosquito borne diseases,Su M.P.,Thesis,N,2017,https://discovery.ucl.ac.uk/id/eprint/1542425/,Female,Lab,Sweep,15-695 Hz (10 Hz),LDV,3,Active quiescent,195 +/- 5.49 (MEDIAN +/- SE),195,,,3_8,Virgin,ZT10,21.5,Y
